종목코드,종목명,예측확률,SHAP_Feature_1,SHAP_Value_1,SHAP_Impact_1,SHAP_Feature_2,SHAP_Value_2,SHAP_Impact_2,SHAP_Feature_3,SHAP_Value_3,SHAP_Impact_3
000660,SK하이닉스,0.7743302346312658,range_pct,0.0149006622516556,-0.22942758103832603,volume_price,813040491200.0,-0.13411714168847538,거래량,13505656.0,-0.09545181344728917
024110,기업은행,0.7583268535320165,volume_price,1014468006500.0,0.3084267746168189,std_close,10480.302223403558,0.1860811031796038,return_1d,-0.0222602739726027,0.16444055411964656
034020,두산에너빌리티,0.7498321140468169,tail_up,0.0,-0.28836281029391103,저가,994000.0,-0.1813726654741913,num_up_days,2.0,0.12859039775910788
329180,HD현대중공업,0.7471547462494956,volume_price,67345075000.0,-0.11768118700245395,return_3d,0.0016835016835016,0.09753486294299364,시가,296500.0,0.0542100690677762
051910,LG화학,0.7253230178400624,num_up_days,2.0,-0.26653045139624737,std_close,13725.44189095713,0.1768723093671724,tail_up,0.0260223048327137,0.14134593934519216
012450,한화솔루션,0.706451824092672,return_1d,-0.0862573099415204,0.6064955286169424,volume_price,882998625000.0,0.3894025279965717,num_up_days,3.0,0.10037132342346013
096770,SK이노베이션,0.6997488393339419,volume_price,129937819200.0,-0.09810851265792735,num_up_days,4.0,0.08120422086329199,tail_up,0.0168589174800354,0.06333410836174153
034730,SK,0.6967429896847468,std_close,26608.269391300146,0.28550613375846295,volume_price,154725024000.0,0.2513794385432266,return_3d,-0.0444191343963553,0.21002165504847653
086790,하나금융지주,0.6893543116747041,tail_up,0.0209790209790209,0.11582845130935311,num_up_days,3.0,0.08052274702698924,return_1d,0.0319410319410319,-0.05718982480233535
402340,SK스퀘어,0.6875477823842466,std_close,13801.434412289713,0.27446210335940124,num_up_days,2.0,-0.16512440536171197,return_1d,-0.0186697782963827,0.1638313803449273
