종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,mean_close,std_close,return_1d,return_3d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
005930,2025-07-03,61300.0,60200.0,60800.0,59800.0,60200.0,60800.0,62000.0,60728.57142857143,694.2915931555924,0.019736842105263157,0.03678929765886288,4,62000.0,"상승  1,200",61300.0,62000.0,61100.0,3531783.0,0.01468189233278956,0.011419249592169658,0.0,0.014729950900163666,218970546000.0
000660,2025-07-03,286000.0,293000.0,284000.0,292000.0,285500.0,279000.0,282500.0,286000.0,4636.809247747852,0.012544802867383513,-0.032534246575342464,3,282500.0,"상승  3,500",281000.0,284000.0,279000.0,543329.0,0.017793594306049824,0.005338078291814947,0.00528169014084507,0.012544802867383513,153490442500.0
207940,2025-07-03,1004000.0,999000.0,996000.0,992000.0,1003000.0,1009000.0,1011000.0,1002000.0,6324.555320336759,0.0019821605550049554,0.019153225806451613,3,1011000.0,"상승  2,000",1015000.0,1015000.0,1006000.0,2520.0,0.008866995073891626,-0.003940886699507389,0.003940886699507389,0.004970178926441352,2547720000.0
373220,2025-07-03,298000.0,297000.0,288000.0,297000.0,297500.0,302500.0,307000.0,298142.85714285716,5389.899851403851,0.01487603305785124,0.03367003367003367,4,307000.0,"상승  4,500",304500.0,308000.0,303000.0,39454.0,0.016420361247947456,0.008210180623973728,0.003246753246753247,0.013201320132013201,12112378000.0
035420,2025-07-03,283500.0,261000.0,257500.0,262500.0,262000.0,252000.0,252500.0,261571.42857142858,9803.164836741578,0.001984126984126984,-0.0380952380952381,2,252500.0,상승  500,250500.0,253500.0,249500.0,101161.0,0.015968063872255488,0.007984031936127744,0.0039447731755424065,0.012024048096192385,25543152500.0
034020,2025-07-03,65800.0,64700.0,65800.0,68400.0,62500.0,61600.0,61700.0,64357.142857142855,2352.4195099982503,0.0016233766233766235,-0.097953216374269,3,61700.0,상승  100,63100.0,63100.0,61700.0,952299.0,0.022187004754358162,-0.022187004754358162,0.022187004754358162,0.0,58756848300.0
105560,2025-07-03,109500.0,109900.0,110600.0,110900.0,110800.0,113500.0,114100.0,111328.57142857143,1637.693749248171,0.0052863436123348016,0.028854824165915238,5,114100.0,상승  600,115000.0,115200.0,113400.0,167163.0,0.01565217391304348,-0.00782608695652174,0.009548611111111112,0.006172839506172839,19073298300.0
012450,2025-07-03,856000.0,878000.0,890000.0,848000.0,839000.0,819000.0,852000.0,854571.4285714285,21921.008467789477,0.040293040293040296,0.0047169811320754715,3,852000.0,"상승  33,000",846000.0,861000.0,839000.0,56805.0,0.026004728132387706,0.0070921985815602835,0.010452961672473868,0.015494636471990465,48397860000.0
005380,2025-07-03,217000.0,209500.0,205000.0,203500.0,210000.0,213500.0,215500.0,210571.42857142858,4731.570046194055,0.00936768149882904,0.05896805896805897,3,215500.0,"상승  2,000",215000.0,215500.0,213000.0,49392.0,0.011627906976744186,0.002325581395348837,0.0,0.011737089201877934,10643976000.0
329180,2025-07-03,437000.0,423500.0,422000.0,428500.0,420500.0,407500.0,398500.0,419642.85714285716,11924.507434314442,-0.022085889570552148,-0.07001166861143523,1,398500.0,"하락  9,000",408000.0,409000.0,398000.0,27400.0,0.02696078431372549,-0.023284313725490197,0.02567237163814181,0.001256281407035176,10918900000.0
005935,2025-07-03,50400.0,50400.0,50600.0,49500.0,50100.0,50700.0,51450.0,50450.0,549.6752287877426,0.014792899408284023,0.03939393939393939,4,51450.0,상승  750,51500.0,51600.0,51000.0,421419.0,0.011650485436893204,-0.000970873786407767,0.0029069767441860465,0.008823529411764706,21682007550.0
000270,2025-07-03,101100.0,99100.0,97700.0,96900.0,98700.0,100000.0,100900.0,99200.0,1460.919475633655,0.009,0.0412796697626419,3,100900.0,상승  900,100400.0,101200.0,100300.0,77896.0,0.008964143426294821,0.0049800796812749,0.0029644268774703555,0.005982053838484547,7859706400.0
068270,2025-07-03,160500.0,160200.0,159900.0,159600.0,160400.0,168900.0,167700.0,162457.14285714287,3719.776161797582,-0.007104795737122558,0.05075187969924812,2,167700.0,"하락  1,200",167800.0,168300.0,167000.0,47213.0,0.0077473182359952325,-0.0005959475566150178,0.0035650623885918,0.004191616766467066,7917620100.0
035720,2025-07-03,69400.0,63100.0,60900.0,60000.0,60100.0,58700.0,60000.0,61742.857142857145,3364.035477499836,0.022146507666098807,0.0,2,60000.0,"상승  1,300",59200.0,60200.0,58800.0,308659.0,0.02364864864864865,0.013513513513513514,0.0033222591362126247,0.02040816326530612,18519540000.0
055550,2025-07-03,60600.0,59700.0,60500.0,61400.0,62200.0,61700.0,62300.0,61200.0,894.4271909999159,0.009724473257698542,0.014657980456026058,4,62300.0,상승  600,61700.0,62500.0,61600.0,138359.0,0.014586709886547812,0.009724473257698542,0.0032,0.011363636363636364,8619765700.0
009540,2025-07-03,364000.0,362500.0,364000.0,366000.0,365000.0,344000.0,337500.0,357571.4285714286,10824.669481686502,-0.0188953488372093,-0.0778688524590164,2,337500.0,"하락  6,500",341000.0,343000.0,336000.0,34351.0,0.020527859237536656,-0.010263929618768328,0.016034985422740525,0.004464285714285714,11593462500.0
028260,2025-07-03,165100.0,160600.0,158800.0,161400.0,165400.0,162200.0,161200.0,162100.0,2214.884711607872,-0.006165228113440197,-0.0012391573729863693,2,161200.0,"하락  1,000",162300.0,163000.0,161000.0,21901.0,0.012322858903265557,-0.006777572396796057,0.011042944785276074,0.0012422360248447205,3530441200.0
