종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,mean_close,std_close,return_1d,return_7d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
005930,2025-07-03,61300.0,60200.0,60800.0,59800.0,60200.0,60800.0,62100.0,60742.857142857145,720.8271892310208,0.02138157894736842,0.013050570962479609,4,62100.0,"상승  1,300",61300.0,62700.0,61100.0,9630929.0,0.026101141924959218,0.013050570962479609,0.009569377990430622,0.016366612111292964,598080690900.0
000660,2025-07-03,286000.0,293000.0,284000.0,292000.0,285500.0,279000.0,278500.0,285428.5714285714,5240.151111701779,-0.0017921146953405018,-0.026223776223776224,2,278500.0,하락  500,281000.0,284000.0,278000.0,957014.0,0.021352313167259787,-0.008896797153024912,0.01936619718309859,0.0017985611510791368,266528399000.0
207940,2025-07-03,1004000.0,999000.0,996000.0,992000.0,1003000.0,1009000.0,1005000.0,1001142.8571428572,5383.269623261935,-0.003964321110009911,0.00099601593625498,2,1005000.0,"하락  4,000",1015000.0,1015000.0,1002000.0,8889.0,0.012807881773399015,-0.009852216748768473,0.009852216748768473,0.0029940119760479044,8933445000.0
373220,2025-07-03,298000.0,297000.0,288000.0,297000.0,297500.0,302500.0,306500.0,298071.4285714286,5274.118554849923,0.013223140495867768,0.028523489932885907,4,306500.0,"상승  4,000",304500.0,309500.0,303000.0,85849.0,0.021346469622331693,0.006568144499178982,0.009693053311793215,0.01155115511551155,26312718500.0
035420,2025-07-03,283500.0,261000.0,257500.0,262500.0,262000.0,252000.0,252500.0,261571.42857142858,9803.164836741578,0.001984126984126984,-0.10934744268077601,2,252500.0,상승  500,250500.0,253750.0,249500.0,213494.0,0.016966067864271458,0.007984031936127744,0.0049261083743842365,0.012024048096192385,53907235000.0
034020,2025-07-03,65800.0,64700.0,65800.0,68400.0,62500.0,61600.0,62000.0,64400.0,2305.893071489408,0.006493506493506494,-0.057750759878419454,3,62000.0,상승  400,63100.0,63100.0,61300.0,1767121.0,0.028526148969889066,-0.017432646592709985,0.017432646592709985,0.011419249592169658,109561502000.0
105560,2025-07-03,109500.0,109900.0,110600.0,110900.0,110800.0,113500.0,114100.0,111328.57142857143,1637.693749248171,0.0052863436123348016,0.04200913242009133,5,114100.0,상승  600,115000.0,115200.0,113400.0,291296.0,0.01565217391304348,-0.00782608695652174,0.009548611111111112,0.006172839506172839,33236873600.0
012450,2025-07-03,856000.0,878000.0,890000.0,848000.0,839000.0,819000.0,846000.0,853714.2857142857,22121.18755346354,0.03296703296703297,-0.011682242990654205,3,846000.0,"상승  27,000",846000.0,861000.0,839000.0,96126.0,0.026004728132387706,0.0,0.017421602787456445,0.00834326579261025,81322596000.0
005380,2025-07-03,217000.0,209500.0,205000.0,203500.0,210000.0,213500.0,214500.0,210428.57142857142,4593.695768803865,0.00468384074941452,-0.01152073732718894,3,214500.0,"상승  1,000",215000.0,217000.0,213000.0,146328.0,0.018604651162790697,-0.002325581395348837,0.01152073732718894,0.007042253521126761,31387356000.0
329180,2025-07-03,437000.0,423500.0,422000.0,428500.0,420500.0,407500.0,399000.0,419714.28571428574,11798.477937117697,-0.020858895705521473,-0.08695652173913043,1,399000.0,"하락  8,500",408000.0,409000.0,396000.0,65168.0,0.031862745098039214,-0.022058823529411766,0.02444987775061125,0.007575757575757576,26002032000.0
005935,2025-07-03,50400.0,50400.0,50600.0,49500.0,50100.0,50700.0,51400.0,50442.857142857145,536.8084065158839,0.013806706114398421,0.01984126984126984,4,51400.0,상승  700,51500.0,52000.0,51000.0,765199.0,0.019417475728155338,-0.001941747572815534,0.011538461538461539,0.00784313725490196,39331228600.0
000270,2025-07-03,101100.0,99100.0,97700.0,96900.0,98700.0,100000.0,100400.0,99128.57142857143,1386.3768666298968,0.004,-0.006923837784371909,3,100400.0,상승  400,100400.0,101500.0,100300.0,178238.0,0.01195219123505976,0.0,0.01083743842364532,0.0009970089730807576,17895095200.0
068270,2025-07-03,160500.0,160200.0,159900.0,159600.0,160400.0,168900.0,168000.0,162500.0,3781.156285733619,-0.0053285968028419185,0.04672897196261682,2,168000.0,하락  900,167800.0,168400.0,167000.0,100036.0,0.00834326579261025,0.0011918951132300357,0.0023752969121140144,0.005988023952095809,16806048000.0
035720,2025-07-03,69400.0,63100.0,60900.0,60000.0,60100.0,58700.0,59600.0,61685.71428571428,3396.396649992699,0.015332197614991482,-0.14121037463976946,2,59600.0,상승  900,59200.0,60400.0,58800.0,719115.0,0.02702702702702703,0.006756756756756757,0.013245033112582781,0.013605442176870748,42859254000.0
055550,2025-07-03,60600.0,59700.0,60500.0,61400.0,62200.0,61700.0,62700.0,61257.142857142855,972.2685444099175,0.01620745542949757,0.034653465346534656,4,62700.0,"상승  1,000",61700.0,63000.0,61600.0,293263.0,0.022690437601296597,0.01620745542949757,0.004761904761904762,0.017857142857142856,18387590100.0
009540,2025-07-03,364000.0,362500.0,364000.0,366000.0,365000.0,344000.0,337000.0,357500.0,10957.710918409399,-0.020348837209302327,-0.07417582417582418,2,337000.0,"하락  7,000",341000.0,343000.0,333500.0,86110.0,0.02785923753665689,-0.011730205278592375,0.01749271137026239,0.010494752623688156,29019070000.0
028260,2025-07-03,165100.0,160600.0,158800.0,161400.0,165400.0,162200.0,161100.0,162085.7142857143,2220.957690102288,-0.006781750924784217,-0.024227740763173834,2,161100.0,"하락  1,100",162300.0,163000.0,160600.0,53426.0,0.014787430683918669,-0.0073937153419593345,0.011656441717791411,0.00311332503113325,8606928600.0
