종목코드,종목명,예측확률,SHAP_Feature_1,SHAP_Value_1,SHAP_Impact_1,SHAP_Feature_2,SHAP_Value_2,SHAP_Impact_2,SHAP_Feature_3,SHAP_Value_3,SHAP_Impact_3
030200,KT,0.6882447180201865,거래량,14761799.0,-0.20525315085425974,close_1,60500.0,0.13852675676578655,return_7d,0.0049586776859504,-0.0811223506461829
024110,기업은행,0.6849038792533235,시가,283500.0,-0.13839577448554338,return_1d,-0.0227670753064798,-0.07254913586191833,return_7d,0.0017953321364452,-0.05675938374130055
377300,카카오페이,0.656486079766846,고가,1025000.0,-0.13777870891615748,시가,999000.0,-0.13161047467961906,mean_close,1001000.0,-0.11654059807071462
138040,메리츠금융지주,0.6466791931590175,시가,295500.0,-0.12463148894719779,return_1d,0.0168067226890756,0.08197559886379167,tail_up,0.0016501650165016,-0.0719749679369852
096770,SK이노베이션,0.6357253649296366,return_1d,-0.0381679389312977,-0.1504710240662098,시가,263000.0,-0.13839577448554338,저가,250000.0,0.052598767424933614
051910,LG화학,0.6221405349837493,return_7d,-0.1059506531204644,-0.07696070790523662,return_1d,-0.0144,-0.07412750279996544,close_1,68900.0,0.059176355262752625
272210,한화시스템,0.621835792819999,mean_close,111071.42857142857,0.10528539348626509,return_1d,0.0243682310469314,0.08189296166179702,volume_price,155877495000.0,-0.07599855808541178
011200,HMM,0.6179910107142976,std_close,25987.43809565518,0.12642861656146123,mean_close,860714.2857142857,-0.10188398896949366,시가,833000.0,-0.09490884223952889
105560,KB금융,0.6165889607789183,mean_close,209214.2857142857,-0.22193058719625697,시가,215000.0,-0.21357125555397943,close_6,210000.0,-0.0664644753979519
005935,삼성전자우,0.6061524218504931,return_1d,-0.0309155766944114,-0.1644463974237442,std_close,16336.699639218468,0.14368660340318457,시가,419000.0,-0.10949597016442567
