종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,mean_close,std_close,return_1d,return_14d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
035720,2025-07-03,53200.0,51800.0,55200.0,60400.0,66600.0,67600.0,70400.0,69400.0,63100.0,60900.0,60000.0,60100.0,58700.0,59700.0,61221.42857142857,5515.197000940553,0.017035775127768313,0.12218045112781954,7,59700.0,"상승  1,000",59200.0,60400.0,58800.0,730368.0,0.02702702702702703,0.008445945945945946,0.011589403973509934,0.015306122448979591,43602969600.0
055550,2025-07-03,60600.0,60300.0,59200.0,59400.0,59300.0,60100.0,61000.0,60600.0,59700.0,60500.0,61400.0,62200.0,61700.0,62800.0,60628.57142857143,1057.2393778330509,0.017828200972447326,0.036303630363036306,7,62800.0,"상승  1,100",61700.0,63000.0,61600.0,309984.0,0.022690437601296597,0.017828200972447326,0.0031746031746031746,0.01948051948051948,19466995200.0
009540,2025-07-03,367500.0,365000.0,368500.0,379000.0,375500.0,375500.0,392000.0,364000.0,362500.0,364000.0,366000.0,365000.0,344000.0,336500.0,366071.4285714286,13121.488840362405,-0.02180232558139535,-0.08435374149659863,5,336500.0,"하락  7,500",341000.0,343000.0,333500.0,87899.0,0.02785923753665689,-0.013196480938416423,0.018950437317784258,0.008995502248875561,29578013500.0
028260,2025-07-03,172200.0,172400.0,164800.0,165300.0,161900.0,161600.0,162500.0,165100.0,160600.0,158800.0,161400.0,165400.0,162200.0,161400.0,163971.42857142858,3882.824555734169,-0.004932182490752158,-0.0627177700348432,6,161400.0,하락  800,162300.0,163000.0,160600.0,55366.0,0.014787430683918669,-0.005545286506469501,0.0098159509202454,0.0049813200498132005,8936072400.0
042660,2025-07-03,85300.0,92000.0,92400.0,89200.0,88600.0,86300.0,87400.0,82500.0,80300.0,79400.0,79400.0,78800.0,76600.0,76800.0,83928.57142857143,5299.114288718253,0.0026109660574412533,-0.09964830011723329,4,76800.0,상승  200,76700.0,77800.0,75700.0,356005.0,0.027379400260756193,0.001303780964797914,0.012853470437017995,0.01453104359313078,27341184000.0
012330,2025-07-03,285500.0,286000.0,299500.0,293000.0,291500.0,280500.0,285000.0,297500.0,294500.0,289500.0,287000.0,288000.0,297000.0,297500.0,290857.14285714284,5591.538797365979,0.0016835016835016834,0.04203152364273205,7,297500.0,상승  500,298500.0,303000.0,295000.0,64189.0,0.02680067001675042,-0.0033500837520938024,0.018151815181518153,0.00847457627118644,19096227500.0
032830,2025-07-03,127900.0,126800.0,123600.0,124500.0,127200.0,124400.0,128500.0,129000.0,125500.0,126300.0,127400.0,130000.0,127400.0,128600.0,126935.71428571429,1818.0079926184292,0.009419152276295133,0.00547302580140735,8,128600.0,"상승  1,200",128300.0,129900.0,126700.0,44756.0,0.02494154325798909,0.002338269680436477,0.010007698229407237,0.01499605367008682,5755621600.0
402340,2025-07-03,149900.0,153400.0,148400.0,148400.0,155500.0,163700.0,181000.0,192200.0,187400.0,176300.0,183000.0,185000.0,176200.0,174200.0,169614.2857142857,15275.837930856556,-0.011350737797956867,0.16210807204803201,7,174200.0,"하락  2,000",176800.0,177000.0,171200.0,80607.0,0.032805429864253395,-0.014705882352941176,0.015819209039548022,0.017523364485981307,14041739400.0
086790,2025-07-03,79700.0,79500.0,78900.0,78700.0,80000.0,79800.0,82300.0,83200.0,83500.0,84200.0,86300.0,88900.0,85800.0,86800.0,82685.71428571429,3234.823276881298,0.011655011655011656,0.0890840652446675,8,86800.0,"상승  1,000",87600.0,87600.0,86000.0,216066.0,0.0182648401826484,-0.0091324200913242,0.0091324200913242,0.009302325581395349,18754528800.0
011200,2025-07-03,24300.0,23000.0,22950.0,22750.0,23000.0,23550.0,22800.0,22850.0,23100.0,22400.0,22500.0,23300.0,23350.0,23450.0,23092.85714285714,465.54773533715206,0.004282655246252677,-0.03497942386831276,8,23450.0,상승  100,23400.0,23550.0,23250.0,261432.0,0.01282051282051282,0.002136752136752137,0.004246284501061571,0.008602150537634409,6130580400.0
