종목코드,날짜,future_return_14d,target,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,mean_close,std_close,return_1d,return_14d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
005930,2025-01-22,0.03130755064456722,1,54400.0,55900.0,55400.0,57300.0,56100.0,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,54664.28571428572,1119.060283616279,0.014953271028037384,-0.001838235294117647,5,54300.0,상승  800,53400.0,54400.0,53100.0,18341991.0,0.024344569288389514,0.016853932584269662,0.001838235294117647,0.022598870056497175,995970111300.0
005930,2025-01-23,0.0595903165735568,1,55900.0,55400.0,57300.0,56100.0,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,54614.28571428572,1145.0871101343857,-0.011049723756906077,-0.03935599284436494,4,53700.0,하락  600,53700.0,54100.0,53500.0,15588067.0,0.0111731843575419,0.0,0.0073937153419593345,0.003738317757009346,837079197900.0
005930,2025-01-24,0.0931098696461825,1,55400.0,57300.0,56100.0,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,54457.142857142855,1108.225277326827,0.0,-0.030685920577617327,4,53700.0,보합0,53600.0,53800.0,53200.0,11867631.0,0.011194029850746268,0.0018656716417910447,0.0018587360594795538,0.009398496240601503,637291784700.0
005930,2025-01-31,0.11450381679389313,1,57300.0,56100.0,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,54242.857142857145,1192.0656056456228,-0.024208566108007448,-0.08551483420593368,3,52400.0,"하락  1,300",52200.0,53000.0,51700.0,42186279.0,0.02490421455938697,0.0038314176245210726,0.011320754716981131,0.013539651837524178,2210561019600.0
005930,2025-02-03,0.1411764705882353,1,56100.0,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,53792.857142857145,1141.0923874668053,-0.026717557251908396,-0.09090909090909091,3,51000.0,"하락  1,400",51100.0,51400.0,50800.0,32344897.0,0.011741682974559686,-0.0019569471624266144,0.007782101167315175,0.003937007874015748,1649589747000.0
005930,2025-02-04,0.0872865275142315,1,55300.0,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,52700.0,53550.0,973.7629515001511,0.03333333333333333,-0.04701627486437613,4,52700.0,"상승  1,700",51600.0,53600.0,51500.0,27214851.0,0.040697674418604654,0.02131782945736434,0.016791044776119403,0.02330097087378641,1434222647700.0
005930,2025-02-05,0.08128544423440454,1,54100.0,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,52700.0,52900.0,53378.57142857143,854.5496486692955,0.003795066413662239,-0.022181146025878003,5,52900.0,상승  200,53600.0,53800.0,52800.0,15974885.0,0.018656716417910446,-0.013059701492537313,0.016728624535315983,0.001893939393939394,845071416500.0
005930,2025-02-06,0.04814814814814815,1,53900.0,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,52700.0,52900.0,54000.0,53371.42857142857,848.8888295283189,0.020793950850661626,0.0018552875695732839,6,54000.0,"상승  1,100",53400.0,54000.0,53200.0,16466025.0,0.0149812734082397,0.011235955056179775,0.0,0.015037593984962405,889165350000.0
005930,2025-02-07,0.048417132216014895,1,53700.0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,52700.0,52900.0,54000.0,53700.0,53357.142857142855,841.5243700013224,-0.005555555555555556,0.0,6,53700.0,하락  300,53900.0,54200.0,53600.0,14476866.0,0.011131725417439703,-0.0037105751391465678,0.00922509225092251,0.0018656716417910447,777407704200.0
005930,2025-02-10,-0.019784172661870502,0,54300.0,53700.0,53400.0,53500.0,54300.0,53700.0,53700.0,52400.0,51000.0,52700.0,52900.0,54000.0,53700.0,55600.0,53492.857142857145,1020.1290434577984,0.035381750465549346,0.02394106813996317,6,55600.0,"상승  1,900",53000.0,55900.0,52900.0,27577591.0,0.05660377358490566,0.04905660377358491,0.005366726296958855,0.05103969754253308,1533314059600.0
