날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2023-06-19,005930,71200.0,하락  600,71300.0,71700.0,70900.0,11100887.0
2023-06-19,000660,114800.0,"하락  4,100",118000.0,118500.0,113500.0,4208396.0
2023-06-19,207940,774000.0,"하락  1,000",775000.0,779000.0,772000.0,39314.0
2023-06-19,373220,561000.0,"하락  27,000",579000.0,580000.0,558000.0,900555.0
2023-06-19,035420,198600.0,"하락  3,900",202500.0,202500.0,198500.0,669785.0
2023-06-19,034020,19280.0,상승  10,19340.0,19370.0,19010.0,6161779.0
2023-06-19,105560,48150.0,하락  150,48350.0,48500.0,48050.0,590340.0
2023-06-19,012450,137300.0,"상승  20,500",118300.0,138800.0,118200.0,3449870.0
2023-06-19,005380,199300.0,하락  100,198000.0,199400.0,197000.0,375749.0
2023-06-19,329180,125500.0,"하락  1,900",127400.0,129500.0,124300.0,165702.0
2023-06-19,005935,59800.0,"하락  1,300",60400.0,60700.0,59700.0,974061.0
2023-06-19,000270,82300.0,상승  700,81600.0,82400.0,81200.0,592234.0
2023-06-19,068270,163000.0,"하락  2,300",165400.0,166000.0,163000.0,263210.0
2023-06-19,035720,52500.0,"하락  1,100",53400.0,53400.0,52000.0,2131119.0
2023-06-19,055550,34550.0,하락  250,34800.0,34900.0,34500.0,847961.0
2023-06-19,009540,115000.0,"상승  1,000",114100.0,117100.0,114100.0,447683.0
2023-06-19,028260,107800.0,상승  200,107800.0,108000.0,107100.0,179467.0
2023-06-19,042660,34100.0,상승  950,33200.0,34650.0,32800.0,2316542.0
2023-06-19,012330,222000.0,상승  500,221000.0,223000.0,219500.0,116679.0
2023-06-19,032830,65600.0,하락  900,66200.0,66500.0,65500.0,148580.0
2023-06-19,402340,47000.0,하락  550,47000.0,47450.0,46450.0,183296.0
2023-06-19,086790,40750.0,하락  100,40750.0,41000.0,40550.0,626303.0
2023-06-19,011200,18850.0,하락  400,19190.0,19200.0,18820.0,856884.0
2023-06-19,015760,18860.0,상승  30,18870.0,19070.0,18820.0,753798.0
2023-06-19,064350,37500.0,"상승  3,700",33850.0,37600.0,33700.0,11119907.0
2023-06-19,005490,392500.0,하락  500,391500.0,394500.0,385500.0,565125.0
2023-06-19,138040,43000.0,하락  900,43850.0,43950.0,42750.0,444445.0
2023-06-19,000810,220000.0,"하락  4,000",223000.0,223000.0,219000.0,68720.0
2023-06-19,323410,25150.0,하락  700,25850.0,26000.0,24950.0,1112228.0
2023-06-19,267260,57900.0,"상승  1,900",56000.0,58100.0,54800.0,345665.0
2023-06-19,259960,200500.0,"하락  3,000",203000.0,205000.0,198200.0,88980.0
2023-06-19,010130,501000.0,"하락  6,000",507000.0,510000.0,498000.0,39207.0
2023-06-19,316140,11940.0,상승  50,11910.0,11970.0,11880.0,1122609.0
2023-06-19,096770,188500.0,상승  300,187600.0,188800.0,185800.0,441927.0
2023-06-19,033780,82400.0,하락  100,82500.0,82700.0,82100.0,200580.0
2023-06-19,010140,6780.0,하락  110,6920.0,6990.0,6750.0,7124218.0
2023-06-19,018260,123900.0,하락  400,124300.0,124500.0,123100.0,57508.0
2023-06-19,051910,752000.0,"상승  9,000",747000.0,763000.0,730000.0,315174.0
2023-06-19,034730,164600.0,"하락  1,400",166100.0,166200.0,163400.0,150261.0
2023-06-19,024110,10310.0,상승  20,10350.0,10360.0,10260.0,811721.0
2023-06-19,006400,715000.0,"하락  12,000",726000.0,729000.0,713000.0,165447.0
2023-06-19,003550,88200.0,하락  500,88400.0,88800.0,87600.0,142194.0
2023-06-19,030200,30550.0,하락  100,30650.0,30700.0,30500.0,296304.0
2023-06-19,352820,300500.0,"상승  3,000",298500.0,306500.0,295000.0,221540.0
2023-06-19,006800,7220.0,하락  100,7300.0,7350.0,7150.0,513826.0
2023-06-19,066570,124900.0,상승  400,125100.0,125800.0,124000.0,592598.0
2023-06-19,377300,52200.0,"하락  1,800",53400.0,53900.0,52000.0,367810.0
2023-06-19,017670,47050.0,하락  150,47100.0,47200.0,46800.0,745762.0
2023-06-19,079550,86800.0,"상승  3,300",84000.0,87500.0,83400.0,441695.0
2023-06-19,272210,15360.0,상승  590,14800.0,15500.0,14800.0,3219736.0
