날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2024-02-13,005930,75200.0,"상승  1,100",74800.0,75200.0,74400.0,21966745.0
2024-02-13,000660,150000.0,"상승  7,200",146800.0,150000.0,145000.0,6902585.0
2024-02-13,207940,838000.0,"상승  23,000",817000.0,842000.0,817000.0,87548.0
2024-02-13,373220,393500.0,하락  500,395000.0,395500.0,390000.0,178139.0
2024-02-13,035420,205000.0,"하락  1,000",206500.0,208000.0,204500.0,860778.0
2024-02-13,034020,15620.0,보합0,15690.0,15780.0,15550.0,1614544.0
2024-02-13,105560,69700.0,"상승  2,100",70100.0,71100.0,67900.0,2716168.0
2024-02-13,012450,135900.0,"상승  1,100",137300.0,138200.0,135400.0,272854.0
2024-02-13,005380,249000.0,"하락  1,000",251000.0,261000.0,247500.0,2690468.0
2024-02-13,329180,110400.0,"하락  1,600",112100.0,113000.0,108800.0,216576.0
2024-02-13,005935,63800.0,"상승  1,800",64500.0,64600.0,62500.0,3190357.0
2024-02-13,000270,117200.0,"상승  4,000",116300.0,120000.0,115100.0,3370853.0
2024-02-13,068270,187500.0,"상승  7,900",181600.0,188300.0,181400.0,933154.0
2024-02-13,035720,54700.0,상승  700,54000.0,55300.0,54000.0,957145.0
2024-02-13,055550,44500.0,상승  350,44550.0,45750.0,44100.0,3719401.0
2024-02-13,009540,118500.0,"하락  2,600",122700.0,123200.0,118000.0,218838.0
2024-02-13,028260,156200.0,하락  300,154000.0,158000.0,152700.0,809721.0
2024-02-13,042660,23500.0,상승  500,23350.0,23650.0,23150.0,770113.0
2024-02-13,012330,233500.0,"상승  3,000",233000.0,238000.0,232000.0,316471.0
2024-02-13,032830,83200.0,상승  200,83000.0,85100.0,82000.0,719249.0
2024-02-13,402340,65700.0,상승  500,64700.0,66300.0,62400.0,726677.0
2024-02-13,086790,55500.0,"하락  1,100",56100.0,57300.0,54800.0,2535691.0
2024-02-13,011200,17820.0,하락  560,18510.0,18690.0,17810.0,3654689.0
2024-02-13,015760,21300.0,상승  900,20550.0,21350.0,20550.0,2520800.0
2024-02-13,064350,28950.0,하락  100,29100.0,29400.0,28550.0,1303349.0
2024-02-13,005490,438000.0,"하락  15,000",450000.0,451500.0,435000.0,1113501.0
2024-02-13,138040,71200.0,하락  600,72700.0,73400.0,71000.0,374893.0
2024-02-13,000810,319000.0,"하락  14,000",333000.0,340000.0,313500.0,203165.0
2024-02-13,323410,29700.0,상승  600,29450.0,30000.0,29450.0,1450726.0
2024-02-13,267260,107600.0,상승  200,106600.0,109700.0,106600.0,182638.0
2024-02-13,259960,230000.0,"상승  16,000",219500.0,230000.0,219000.0,285922.0
2024-02-13,010130,473000.0,"상승  6,500",471000.0,474000.0,467000.0,31850.0
2024-02-13,316140,14380.0,하락  230,14780.0,14890.0,14230.0,4318452.0
2024-02-13,096770,122900.0,"상승  1,900",121800.0,124000.0,121800.0,381580.0
2024-02-13,033780,90400.0,하락  600,91900.0,92500.0,90200.0,262489.0
2024-02-13,010140,7360.0,상승  30,7390.0,7450.0,7290.0,3291800.0
2024-02-13,018260,153200.0,상승  200,154000.0,156700.0,152900.0,106734.0
2024-02-13,051910,471000.0,상승  500,473000.0,475000.0,469500.0,379733.0
2024-02-13,034730,195500.0,하락  500,195900.0,199500.0,194700.0,189920.0
2024-02-13,024110,13510.0,상승  100,13490.0,13880.0,13400.0,2798265.0
2024-02-13,006400,391000.0,"상승  6,000",391000.0,393000.0,386000.0,253552.0
2024-02-13,003550,93000.0,"하락  1,000",93900.0,94900.0,92300.0,424591.0
2024-02-13,030200,38350.0,상승  700,37900.0,38700.0,37800.0,908809.0
2024-02-13,352820,205500.0,"상승  5,500",203000.0,206000.0,200000.0,181950.0
2024-02-13,006800,8680.0,상승  30,8660.0,8800.0,8650.0,909260.0
2024-02-13,066570,99400.0,"상승  1,200",99000.0,100500.0,98700.0,669368.0
2024-02-13,377300,48650.0,상승  900,48400.0,49050.0,48300.0,171254.0
2024-02-13,017670,51900.0,"상승  1,100",51000.0,51900.0,51000.0,1031204.0
2024-02-13,079550,118200.0,"상승  4,600",114700.0,118600.0,114100.0,442233.0
2024-02-13,272210,15850.0,상승  390,15600.0,15940.0,15580.0,839170.0
