날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2023-06-29,005930,72400.0,하락  300,73100.0,73400.0,72400.0,12229967.0
2023-06-29,000660,116200.0,"상승  1,900",115200.0,117400.0,114500.0,4398301.0
2023-06-29,207940,748000.0,"상승  6,000",741000.0,755000.0,741000.0,42928.0
2023-06-29,373220,550000.0,"상승  3,000",548000.0,561000.0,547000.0,230986.0
2023-06-29,035420,183400.0,"하락  1,400",183800.0,186200.0,183400.0,578195.0
2023-06-29,034020,17750.0,하락  250,18140.0,18180.0,17700.0,3398202.0
2023-06-29,105560,47100.0,"하락  1,050",47700.0,48150.0,47100.0,872642.0
2023-06-29,012450,125200.0,"하락  2,500",127100.0,128600.0,124000.0,694754.0
2023-06-29,005380,204500.0,"하락  1,500",205500.0,206000.0,204000.0,320058.0
2023-06-29,329180,129300.0,상승  800,128500.0,131300.0,127500.0,92223.0
2023-06-29,005935,60500.0,보합0,60600.0,60700.0,60200.0,753269.0
2023-06-29,000270,86000.0,하락  400,86300.0,86700.0,85700.0,761277.0
2023-06-29,068270,152500.0,상승  700,150600.0,154600.0,149300.0,394752.0
2023-06-29,035720,49000.0,보합0,49000.0,49800.0,48700.0,1287518.0
2023-06-29,055550,33850.0,하락  850,34350.0,34500.0,33850.0,990007.0
2023-06-29,009540,114500.0,하락  800,115000.0,116400.0,113800.0,332545.0
2023-06-29,028260,104500.0,하락  700,105200.0,106200.0,104500.0,156376.0
2023-06-29,042660,37600.0,상승  150,37800.0,38300.0,37300.0,711339.0
2023-06-29,012330,226000.0,"하락  5,000",228000.0,230000.0,226000.0,135735.0
2023-06-29,032830,66900.0,상승  400,66000.0,67400.0,66000.0,200171.0
2023-06-29,402340,44250.0,하락  550,43400.0,45150.0,41150.0,904508.0
2023-06-29,086790,38800.0,"하락  1,450",39650.0,39850.0,38750.0,1249392.0
2023-06-29,011200,18720.0,하락  120,18810.0,18980.0,18680.0,819331.0
2023-06-29,015760,20050.0,상승  260,19670.0,20300.0,19640.0,2028187.0
2023-06-29,064350,35650.0,하락  100,35850.0,36800.0,35300.0,1700566.0
2023-06-29,005490,387500.0,"하락  2,000",390000.0,396500.0,387000.0,557777.0
2023-06-29,138040,41500.0,하락  150,41650.0,42250.0,41500.0,262519.0
2023-06-29,000810,228500.0,하락  500,227500.0,230000.0,224500.0,67795.0
2023-06-29,323410,23750.0,하락  400,24050.0,24250.0,23700.0,491742.0
2023-06-29,267260,60500.0,"상승  2,600",58400.0,61000.0,56900.0,413798.0
2023-06-29,259960,195000.0,"하락  4,000",198700.0,199400.0,194400.0,82339.0
2023-06-29,010130,478500.0,"하락  5,000",481500.0,488500.0,478500.0,28974.0
2023-06-29,316140,11610.0,하락  370,11860.0,11920.0,11610.0,3595228.0
2023-06-29,096770,158000.0,"하락  2,700",160400.0,162200.0,157800.0,593011.0
2023-06-29,033780,82000.0,"하락  2,000",82300.0,83000.0,82000.0,353899.0
2023-06-29,010140,6560.0,보합0,6520.0,6720.0,6510.0,3529441.0
2023-06-29,018260,121700.0,하락  300,121500.0,123900.0,121300.0,95460.0
2023-06-29,051910,660000.0,"하락  2,000",666000.0,682000.0,660000.0,293283.0
2023-06-29,034730,148300.0,"하락  4,800",152000.0,152400.0,148200.0,250860.0
2023-06-29,024110,10200.0,하락  130,10290.0,10330.0,10200.0,510264.0
2023-06-29,006400,665000.0,"상승  8,000",657000.0,679000.0,656000.0,225876.0
2023-06-29,003550,88100.0,하락  100,88500.0,89400.0,87900.0,161420.0
2023-06-29,030200,29800.0,하락  600,30350.0,30400.0,29700.0,1074117.0
2023-06-29,352820,279500.0,"하락  5,500",284000.0,291000.0,278000.0,187764.0
2023-06-29,006800,7130.0,하락  150,7210.0,7300.0,7130.0,295797.0
2023-06-29,066570,126000.0,"상승  3,200",123000.0,127900.0,122800.0,951939.0
2023-06-29,377300,46650.0,보합0,46350.0,47150.0,46300.0,141119.0
2023-06-29,017670,46250.0,"하락  1,400",47100.0,47200.0,46250.0,884488.0
2023-06-29,079550,80600.0,"상승  1,000",79600.0,82400.0,79100.0,112302.0
2023-06-29,272210,14230.0,상승  540,13990.0,14670.0,13870.0,1332257.0
