날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2022-12-16,005930,59500.0,상승  200,58300.0,59500.0,58300.0,13033596.0
2022-12-16,000660,78400.0,"하락  1,800",77700.0,79400.0,77500.0,3827227.0
2022-12-16,207940,835000.0,"상승  12,000",813000.0,837000.0,811000.0,41298.0
2022-12-16,373220,485500.0,하락  500,476500.0,489500.0,476500.0,312213.0
2022-12-16,035420,180500.0,"하락  2,000",178000.0,182500.0,177500.0,913806.0
2022-12-16,034020,16200.0,하락  400,16250.0,16450.0,16050.0,3523031.0
2022-12-16,105560,51900.0,상승  300,50900.0,52200.0,50600.0,1276764.0
2022-12-16,012450,70500.0,하락  800,70600.0,72500.0,70100.0,497343.0
2022-12-16,005380,162500.0,상승  500,160000.0,163000.0,160000.0,446581.0
2022-12-16,329180,118500.0,"상승  2,500",115500.0,120000.0,115000.0,151048.0
2022-12-16,005935,53800.0,하락  200,53100.0,53900.0,53000.0,945542.0
2022-12-16,000270,64100.0,보합0,63200.0,64400.0,63100.0,1126438.0
2022-12-16,068270,179000.0,하락  500,176500.0,179000.0,176500.0,259127.0
2022-12-16,035720,54400.0,하락  900,53500.0,54900.0,53100.0,2477820.0
2022-12-16,055550,37450.0,하락  250,37300.0,37600.0,37200.0,881055.0
2022-12-16,009540,72800.0,하락  200,72500.0,74000.0,72000.0,163845.0
2022-12-16,028260,120000.0,보합0,119000.0,120000.0,118500.0,167014.0
2022-12-16,042660,18850.0,하락  150,19300.0,20150.0,18600.0,1153421.0
2022-12-16,012330,206500.0,상승  500,205000.0,209000.0,204500.0,176039.0
2022-12-16,032830,73200.0,하락  200,73300.0,73600.0,72700.0,215414.0
2022-12-16,402340,35100.0,하락  200,34800.0,35300.0,34650.0,495420.0
2022-12-16,086790,44750.0,상승  200,43900.0,44900.0,43600.0,1263923.0
2022-12-16,011200,21800.0,상승  300,21100.0,21800.0,21050.0,1212779.0
2022-12-16,015760,21650.0,상승  800,20900.0,21800.0,20900.0,4747522.0
2022-12-16,064350,27450.0,하락  950,27950.0,28300.0,27200.0,1877911.0
2022-12-16,005490,279000.0,"하락  4,500",279000.0,281000.0,277000.0,360911.0
2022-12-16,138040,38800.0,"상승  1,550",36500.0,39250.0,36450.0,719713.0
2022-12-16,000810,214000.0,"상승  3,500",211500.0,214000.0,209000.0,137373.0
2022-12-16,323410,26000.0,하락  50,25250.0,26700.0,25100.0,3220011.0
2022-12-16,267260,42350.0,상승  400,41500.0,42900.0,41150.0,212009.0
2022-12-16,259960,183500.0,"상승  4,000",177000.0,183500.0,176000.0,252456.0
2022-12-16,010130,596000.0,"상승  5,000",592000.0,607000.0,592000.0,76786.0
2022-12-16,316140,12850.0,상승  200,12500.0,12850.0,12450.0,2019523.0
2022-12-16,096770,169500.0,"상승  2,000",164500.0,169500.0,163500.0,225333.0
2022-12-16,033780,97500.0,하락  700,98200.0,98400.0,97100.0,506988.0
2022-12-16,010140,5160.0,상승  20,5090.0,5180.0,5090.0,2259478.0
2022-12-16,018260,125000.0,"하락  2,000",126000.0,126500.0,124000.0,125166.0
2022-12-16,051910,645000.0,"상승  2,000",637000.0,649000.0,630000.0,176864.0
2022-12-16,034730,203500.0,상승  500,201500.0,203500.0,200500.0,110334.0
2022-12-16,024110,10900.0,하락  100,10900.0,11000.0,10850.0,1095263.0
2022-12-16,006400,667000.0,"상승  2,000",654000.0,667000.0,648000.0,270035.0
2022-12-16,003550,80000.0,하락  200,79800.0,80500.0,79200.0,226500.0
2022-12-16,030200,36300.0,하락  350,36400.0,36700.0,36300.0,632006.0
2022-12-16,352820,164000.0,"상승  6,500",153500.0,166500.0,153000.0,319185.0
2022-12-16,006800,6410.0,하락  40,6410.0,6450.0,6370.0,908653.0
2022-12-16,066570,87200.0,"하락  1,500",87000.0,87900.0,85800.0,625891.0
2022-12-16,377300,61400.0,상승  300,58800.0,62100.0,58500.0,1130110.0
2022-12-16,017670,48800.0,하락  500,49050.0,49250.0,48750.0,1014486.0
2022-12-16,079550,87800.0,"하락  2,700",89500.0,91400.0,87600.0,151305.0
2022-12-16,272210,11100.0,하락  150,11250.0,11350.0,11050.0,266297.0
