날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2024-03-08,005930,73300.0,"상승  1,100",72800.0,73400.0,72600.0,19271349.0
2024-03-08,000660,171900.0,"상승  7,000",169800.0,174900.0,169300.0,5089650.0
2024-03-08,207940,838000.0,"상승  42,000",813000.0,845000.0,812000.0,186051.0
2024-03-08,373220,402500.0,"상승  3,000",403500.0,406500.0,399500.0,162446.0
2024-03-08,035420,188000.0,"하락  1,000",190000.0,190700.0,188000.0,750757.0
2024-03-08,034020,15860.0,상승  280,15710.0,15900.0,15440.0,2084140.0
2024-03-08,105560,70900.0,하락  300,70500.0,71300.0,69600.0,1777459.0
2024-03-08,012450,200000.0,보합0,203000.0,205500.0,197200.0,584099.0
2024-03-08,005380,253000.0,"상승  3,000",251500.0,255000.0,249500.0,1210240.0
2024-03-08,329180,110900.0,하락  700,112300.0,112800.0,110200.0,83688.0
2024-03-08,005935,63000.0,상승  500,63000.0,63000.0,62600.0,1493858.0
2024-03-08,000270,128400.0,"상승  2,300",126900.0,130000.0,126200.0,2324865.0
2024-03-08,068270,180300.0,"상승  3,200",179800.0,181300.0,177900.0,519400.0
2024-03-08,035720,53200.0,상승  300,53600.0,54200.0,53000.0,1466862.0
2024-03-08,055550,46000.0,상승  600,45800.0,46450.0,45150.0,3311443.0
2024-03-08,009540,112200.0,"하락  1,300",114800.0,115300.0,111400.0,117143.0
2024-03-08,028260,168200.0,"상승  3,700",167400.0,168500.0,164000.0,404394.0
2024-03-08,042660,22550.0,하락  150,22900.0,22950.0,22300.0,525214.0
2024-03-08,012330,253000.0,보합0,256500.0,257500.0,252000.0,204348.0
2024-03-08,032830,105100.0,하락  900,107200.0,108500.0,104200.0,415426.0
2024-03-08,402340,75000.0,"상승  2,700",73100.0,75300.0,73000.0,788336.0
2024-03-08,086790,59700.0,하락  100,60400.0,60400.0,59100.0,1041284.0
2024-03-08,011200,16950.0,하락  60,17020.0,17260.0,16900.0,1411684.0
2024-03-08,015760,24000.0,하락  200,24300.0,24350.0,23200.0,3269503.0
2024-03-08,064350,31700.0,상승  250,31500.0,32200.0,31200.0,1518499.0
2024-03-08,005490,444500.0,"상승  1,500",447000.0,456500.0,444000.0,489844.0
2024-03-08,138040,81500.0,"상승  1,100",81200.0,82200.0,80400.0,337939.0
2024-03-08,000810,310000.0,"상승  3,500",309500.0,322000.0,305000.0,165143.0
2024-03-08,323410,28750.0,상승  50,29100.0,29500.0,28500.0,706479.0
2024-03-08,267260,129400.0,상승  700,130000.0,130000.0,125600.0,204702.0
2024-03-08,259960,222000.0,"상승  6,000",219500.0,226000.0,218500.0,97789.0
2024-03-08,010130,457000.0,"상승  12,500",449500.0,457500.0,448000.0,50275.0
2024-03-08,316140,14290.0,하락  180,14580.0,14600.0,14180.0,2853431.0
2024-03-08,096770,119000.0,상승  200,120000.0,121200.0,118800.0,320682.0
2024-03-08,033780,93900.0,"상승  2,100",93000.0,94000.0,92700.0,340112.0
2024-03-08,010140,7660.0,하락  50,7710.0,7780.0,7560.0,4450867.0
2024-03-08,018260,161700.0,"상승  5,200",158400.0,165700.0,157500.0,181398.0
2024-03-08,051910,443000.0,보합0,448000.0,456500.0,440500.0,288423.0
2024-03-08,034730,189700.0,"하락  2,200",193400.0,194700.0,188700.0,117141.0
2024-03-08,024110,14150.0,상승  110,14080.0,14190.0,14000.0,1171179.0
2024-03-08,006400,426000.0,"상승  14,000",420500.0,442500.0,418000.0,1764503.0
2024-03-08,003550,95200.0,"하락  2,100",98300.0,98300.0,94800.0,294300.0
2024-03-08,030200,38750.0,하락  300,39050.0,39500.0,38600.0,565329.0
2024-03-08,352820,194600.0,"상승  8,700",187800.0,198000.0,187800.0,421668.0
2024-03-08,006800,8300.0,상승  40,8280.0,8380.0,8160.0,997019.0
2024-03-08,066570,95600.0,상승  700,95600.0,96000.0,94800.0,386803.0
2024-03-08,377300,40850.0,상승  550,40850.0,41600.0,40450.0,292034.0
2024-03-08,017670,52500.0,상승  400,52700.0,52900.0,52100.0,554403.0
2024-03-08,079550,183300.0,"상승  5,700",178700.0,186500.0,176300.0,504913.0
2024-03-08,272210,17940.0,하락  220,18270.0,18440.0,17690.0,1811474.0
