날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2024-03-25,005930,78200.0,하락  700,79600.0,79800.0,77800.0,18703996.0
2024-03-25,000660,169400.0,하락  400,170500.0,174800.0,168500.0,3434516.0
2024-03-25,207940,840000.0,보합0,847000.0,852000.0,835000.0,47393.0
2024-03-25,373220,414500.0,"상승  1,000",416500.0,417000.0,412000.0,162037.0
2024-03-25,035420,188000.0,하락  900,187300.0,189400.0,185400.0,654494.0
2024-03-25,034020,17300.0,하락  590,17890.0,17980.0,17230.0,4860054.0
2024-03-25,105560,72000.0,"하락  2,900",74200.0,75100.0,71000.0,2053367.0
2024-03-25,012450,203500.0,"상승  1,500",207500.0,214500.0,201500.0,889909.0
2024-03-25,005380,239500.0,"하락  4,000",244000.0,245500.0,239500.0,784822.0
2024-03-25,329180,124700.0,하락  400,125600.0,126000.0,123300.0,113953.0
2024-03-25,005935,65700.0,"하락  1,000",66700.0,67200.0,65500.0,1403032.0
2024-03-25,000270,111500.0,"하락  1,400",113100.0,113500.0,111000.0,1550861.0
2024-03-25,068270,188900.0,상승  700,190200.0,192400.0,188900.0,646054.0
2024-03-25,035720,53800.0,상승  200,53400.0,54500.0,53100.0,717693.0
2024-03-25,055550,50600.0,보합0,50200.0,51000.0,49700.0,1399704.0
2024-03-25,009540,124400.0,"하락  1,500",125900.0,126300.0,123100.0,138608.0
2024-03-25,028260,158500.0,"하락  1,500",159700.0,159800.0,157700.0,412842.0
2024-03-25,042660,30000.0,하락  700,30850.0,30900.0,29200.0,2001419.0
2024-03-25,012330,258000.0,"하락  4,000",259500.0,264000.0,257000.0,183402.0
2024-03-25,032830,97300.0,하락  600,96900.0,98900.0,96600.0,432191.0
2024-03-25,402340,76700.0,"하락  3,300",79300.0,79300.0,75400.0,417506.0
2024-03-25,086790,62600.0,"하락  1,400",64300.0,65200.0,61900.0,1318501.0
2024-03-25,011200,15610.0,상승  50,15630.0,15680.0,15570.0,1096058.0
2024-03-25,015760,22350.0,하락  450,22800.0,22900.0,21850.0,2966690.0
2024-03-25,064350,32600.0,상승  200,33000.0,33250.0,32250.0,1564572.0
2024-03-25,005490,432000.0,"상승  3,500",430000.0,435000.0,429500.0,354232.0
2024-03-25,138040,84600.0,상승  400,86100.0,87900.0,84000.0,644908.0
2024-03-25,000810,334000.0,"하락  1,000",335500.0,342000.0,331000.0,121753.0
2024-03-25,323410,27800.0,하락  300,28100.0,28200.0,27650.0,560631.0
2024-03-25,267260,169500.0,"상승  3,000",167100.0,171100.0,161000.0,270867.0
2024-03-25,259960,240000.0,"상승  4,000",236000.0,242500.0,232500.0,125503.0
2024-03-25,010130,456000.0,"상승  16,000",452000.0,474000.0,452000.0,132867.0
2024-03-25,316140,15130.0,하락  70,15240.0,15320.0,14990.0,2092278.0
2024-03-25,096770,121000.0,"상승  1,000",120500.0,122400.0,120300.0,341937.0
2024-03-25,033780,92100.0,하락  400,92300.0,92900.0,91900.0,262316.0
2024-03-25,010140,8960.0,하락  120,9110.0,9140.0,8910.0,5580533.0
2024-03-25,018260,155400.0,"하락  2,700",158200.0,158300.0,154700.0,116681.0
2024-03-25,051910,460500.0,"상승  11,000",450500.0,465500.0,450500.0,275423.0
2024-03-25,034730,187900.0,"하락  3,300",191500.0,192600.0,187500.0,84198.0
2024-03-25,024110,15380.0,상승  100,15290.0,15380.0,15140.0,2529575.0
2024-03-25,006400,486000.0,"상승  13,500",478000.0,494500.0,475000.0,840495.0
2024-03-25,003550,89800.0,하락  600,90900.0,90900.0,89500.0,164908.0
2024-03-25,030200,37850.0,하락  900,38750.0,38750.0,37850.0,492046.0
2024-03-25,352820,207000.0,"상승  11,200",195800.0,208500.0,195800.0,367548.0
2024-03-25,006800,8320.0,하락  140,8470.0,8470.0,8240.0,866613.0
2024-03-25,066570,98900.0,하락  500,99500.0,100200.0,98600.0,313812.0
2024-03-25,377300,39250.0,하락  150,39400.0,39450.0,38800.0,124420.0
2024-03-25,017670,53300.0,상승  100,53200.0,53500.0,53200.0,271654.0
2024-03-25,079550,169500.0,"상승  2,200",170800.0,175000.0,169000.0,402364.0
2024-03-25,272210,17370.0,하락  250,17870.0,18020.0,17370.0,1302730.0
