날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2023-02-22,005930,61100.0,"하락  1,000",61500.0,61800.0,61000.0,11959088.0
2023-02-22,000660,89100.0,"하락  2,100",89900.0,90300.0,88500.0,2301835.0
2023-02-22,207940,788000.0,"하락  12,000",793000.0,794000.0,787000.0,51047.0
2023-02-22,373220,508000.0,"하락  12,000",507000.0,516000.0,504000.0,315931.0
2023-02-22,035420,211500.0,"하락  4,000",211500.0,213500.0,210500.0,820639.0
2023-02-22,034020,16230.0,상승  30,15970.0,16460.0,15950.0,4564945.0
2023-02-22,105560,49700.0,하락  900,50500.0,50800.0,49700.0,1511960.0
2023-02-22,012450,86600.0,"하락  1,200",87100.0,91300.0,86100.0,1063145.0
2023-02-22,005380,174200.0,"하락  4,000",175800.0,176900.0,174000.0,432567.0
2023-02-22,329180,112800.0,상승  600,110700.0,113600.0,110300.0,267724.0
2023-02-22,005935,54800.0,하락  500,54700.0,55000.0,54500.0,742536.0
2023-02-22,000270,74500.0,"하락  2,100",75800.0,76000.0,74300.0,1281613.0
2023-02-22,068270,149000.0,"하락  5,800",152500.0,152800.0,148500.0,932833.0
2023-02-22,035720,62200.0,하락  900,61900.0,63000.0,61500.0,1904538.0
2023-02-22,055550,38300.0,하락  750,38950.0,39200.0,38300.0,1422983.0
2023-02-22,009540,85500.0,상승  700,83500.0,85900.0,83500.0,321535.0
2023-02-22,028260,113200.0,"하락  1,700",114100.0,114200.0,112800.0,297641.0
2023-02-22,042660,26150.0,상승  150,25700.0,26750.0,25600.0,568741.0
2023-02-22,012330,214000.0,"하락  1,000",213000.0,215500.0,212000.0,174133.0
2023-02-22,032830,67300.0,상승  100,67100.0,67600.0,66600.0,250073.0
2023-02-22,402340,36600.0,"하락  1,300",37400.0,37400.0,36250.0,430989.0
2023-02-22,086790,45000.0,"하락  1,350",46350.0,46400.0,44750.0,1134213.0
2023-02-22,011200,21950.0,하락  50,21600.0,22100.0,21600.0,1445516.0
2023-02-22,015760,18180.0,하락  180,18250.0,18300.0,18170.0,1114599.0
2023-02-22,064350,25400.0,하락  500,25450.0,25750.0,25400.0,1484713.0
2023-02-22,005490,332000.0,"하락  14,000",339000.0,341500.0,329000.0,974061.0
2023-02-22,138040,41150.0,"하락  2,250",43050.0,43200.0,40550.0,1178335.0
2023-02-22,000810,207500.0,"상승  1,500",206500.0,208500.0,205500.0,73578.0
2023-02-22,323410,25500.0,하락  350,25250.0,25700.0,25200.0,1204244.0
2023-02-22,267260,40200.0,"상승  1,900",37950.0,40300.0,37950.0,370571.0
2023-02-22,259960,171700.0,"하락  2,800",171700.0,173000.0,170600.0,115418.0
2023-02-22,010130,609000.0,"하락  1,000",604000.0,618000.0,593000.0,129625.0
2023-02-22,316140,12190.0,하락  200,12340.0,12360.0,12160.0,1665701.0
2023-02-22,096770,158800.0,"하락  3,200",160500.0,161500.0,158700.0,441802.0
2023-02-22,033780,89100.0,하락  600,89800.0,90400.0,88600.0,314697.0
2023-02-22,010140,5830.0,하락  10,5770.0,5900.0,5760.0,4178842.0
2023-02-22,018260,126600.0,"하락  2,700",128000.0,128300.0,125500.0,88903.0
2023-02-22,051910,666000.0,"하락  21,000",675000.0,680000.0,666000.0,192246.0
2023-02-22,034730,184100.0,"하락  3,800",186600.0,186700.0,184000.0,194022.0
2023-02-22,024110,10060.0,하락  110,10130.0,10150.0,10050.0,736602.0
2023-02-22,006400,684000.0,"하락  8,000",682000.0,690000.0,677000.0,221152.0
2023-02-22,003550,81800.0,"하락  1,800",82900.0,82900.0,81600.0,140504.0
2023-02-22,030200,32200.0,하락  200,32200.0,32300.0,31900.0,1070930.0
2023-02-22,352820,187700.0,"상승  5,600",183900.0,192900.0,183800.0,605997.0
2023-02-22,006800,7070.0,하락  190,7170.0,7180.0,7060.0,1059681.0
2023-02-22,066570,111100.0,"하락  2,900",113000.0,113800.0,111000.0,692730.0
2023-02-22,377300,61600.0,하락  600,60300.0,62100.0,60300.0,369823.0
2023-02-22,017670,45100.0,상승  50,44800.0,45250.0,44700.0,874266.0
2023-02-22,079550,74400.0,하락  300,74000.0,75100.0,73800.0,179830.0
2023-02-22,272210,12870.0,하락  240,13020.0,13130.0,12820.0,856217.0
