날짜,종목코드,종가,전일비,시가,고가,저가,거래량
2023-08-25,005930,67100.0,"하락  1,100",67100.0,67400.0,66900.0,7032462.0
2023-08-25,000660,116500.0,"하락  4,400",117400.0,118300.0,115300.0,3533647.0
2023-08-25,207940,757000.0,"하락  6,000",755000.0,764000.0,754000.0,23435.0
2023-08-25,373220,546000.0,"상승  11,000",527000.0,549000.0,525000.0,249493.0
2023-08-25,035420,211000.0,"하락  18,000",221500.0,222000.0,210500.0,2072800.0
2023-08-25,034020,16700.0,상승  130,16360.0,16810.0,16340.0,2370322.0
2023-08-25,105560,52500.0,하락  700,52500.0,53000.0,52300.0,783773.0
2023-08-25,012450,110000.0,하락  700,110500.0,111500.0,109600.0,266719.0
2023-08-25,005380,186200.0,하락  200,184200.0,187000.0,184200.0,368503.0
2023-08-25,329180,120100.0,"하락  1,000",119000.0,121300.0,118900.0,64456.0
2023-08-25,005935,55200.0,하락  200,55000.0,55200.0,54600.0,736294.0
2023-08-25,000270,78100.0,하락  700,78000.0,78800.0,77800.0,656919.0
2023-08-25,068270,143500.0,"하락  1,100",145000.0,146000.0,143400.0,240799.0
2023-08-25,035720,48100.0,"하락  1,000",48000.0,48550.0,47600.0,1330506.0
2023-08-25,055550,35200.0,상승  150,34850.0,35400.0,34850.0,654534.0
2023-08-25,009540,111800.0,"하락  1,500",112200.0,113000.0,111300.0,127186.0
2023-08-25,028260,104900.0,상승  300,103600.0,105200.0,103200.0,163837.0
2023-08-25,042660,35000.0,하락  50,34600.0,35500.0,33750.0,946833.0
2023-08-25,012330,227000.0,하락  500,225500.0,228000.0,225000.0,94078.0
2023-08-25,032830,67100.0,상승  700,66100.0,67300.0,65900.0,127836.0
2023-08-25,402340,43450.0,"하락  1,150",44050.0,44300.0,42800.0,332787.0
2023-08-25,086790,38750.0,상승  200,38200.0,38800.0,38150.0,599885.0
2023-08-25,011200,17000.0,하락  110,17030.0,17190.0,17000.0,915307.0
2023-08-25,015760,17830.0,하락  170,17890.0,17890.0,17720.0,879663.0
2023-08-25,064350,29150.0,하락  250,29050.0,29600.0,29000.0,502856.0
2023-08-25,005490,577000.0,"하락  2,000",567000.0,583000.0,561000.0,904736.0
2023-08-25,138040,51500.0,상승  800,50400.0,51700.0,50300.0,496267.0
2023-08-25,000810,254500.0,"상승  3,000",249500.0,256500.0,249000.0,66437.0
2023-08-25,323410,24450.0,하락  550,24550.0,24750.0,24300.0,801046.0
2023-08-25,267260,67400.0,"하락  2,700",68300.0,69500.0,66800.0,299219.0
2023-08-25,259960,155100.0,하락  600,154500.0,156100.0,153600.0,83001.0
2023-08-25,010130,499000.0,"상승  20,000",474500.0,506000.0,472500.0,73581.0
2023-08-25,316140,11560.0,하락  40,11550.0,11610.0,11540.0,983882.0
2023-08-25,096770,173000.0,"하락  1,200",171200.0,173600.0,169100.0,356577.0
2023-08-25,033780,86900.0,"상승  1,200",85500.0,87100.0,85500.0,306195.0
2023-08-25,010140,8210.0,보합0,8130.0,8350.0,8130.0,4591196.0
2023-08-25,018260,138700.0,"하락  2,700",139400.0,139700.0,138000.0,102108.0
2023-08-25,051910,560000.0,"하락  3,000",556000.0,563000.0,548000.0,197844.0
2023-08-25,034730,142500.0,하락  700,140700.0,143100.0,140500.0,84278.0
2023-08-25,024110,10650.0,상승  150,10470.0,10670.0,10470.0,925017.0
2023-08-25,006400,595000.0,"상승  1,000",585000.0,600000.0,583000.0,115672.0
2023-08-25,003550,82300.0,상승  300,81100.0,82500.0,80700.0,114893.0
2023-08-25,030200,33000.0,상승  150,32550.0,33000.0,32550.0,528806.0
2023-08-25,352820,237000.0,"상승  4,500",229500.0,238500.0,229000.0,144973.0
2023-08-25,006800,6720.0,상승  20,6640.0,6770.0,6620.0,323134.0
2023-08-25,066570,98300.0,하락  800,98100.0,99500.0,97600.0,358283.0
2023-08-25,377300,42900.0,하락  550,42550.0,42900.0,42050.0,163487.0
2023-08-25,017670,47150.0,상승  50,47000.0,47300.0,46950.0,388201.0
2023-08-25,079550,78700.0,보합0,78000.0,79200.0,77500.0,66058.0
2023-08-25,272210,13160.0,하락  70,13120.0,13510.0,13050.0,548831.0
