날짜,종목코드,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price,X8,label
2024-11-18,270,96700.0,"상승  5,100",91100.0,96800.0,91100.0,1258964.0,0.06256860592755215,0.06147091108671789,0.0010330578512396695,0.06147091108671789,121741818800.0,-0.014477766287487074,0
2024-11-19,270,95300.0,"하락  1,400",95800.0,97200.0,95000.0,791662.0,0.022964509394572025,-0.005219206680584551,0.01954732510288066,0.003157894736842105,75445388600.0,0.02938090241343127,2
2024-11-20,270,98100.0,"상승  2,800",95300.0,99200.0,95000.0,1315123.0,0.04407135362014691,0.02938090241343127,0.011088709677419355,0.03263157894736842,129013566300.0,-0.0050968399592252805,1
2024-11-21,270,97600.0,하락  500,98100.0,98900.0,96800.0,877875.0,0.021406727828746176,-0.0050968399592252805,0.01314459049544995,0.008264462809917356,85680600000.0,0.0020491803278688526,1
2024-11-22,270,97800.0,상승  200,98500.0,98800.0,97100.0,625998.0,0.017258883248730966,-0.007106598984771574,0.010121457489878543,0.007209062821833162,61222604400.0,-0.006134969325153374,1
2024-11-25,270,97200.0,하락  600,97600.0,98300.0,96300.0,1490846.0,0.020491803278688523,-0.004098360655737705,0.011190233977619531,0.009345794392523364,144910231200.0,0.00102880658436214,1
2024-11-26,270,97300.0,상승  100,96500.0,97500.0,95700.0,824826.0,0.01865284974093264,0.008290155440414507,0.0020512820512820513,0.01671891327063741,80255569800.0,-0.030832476875642344,0
2024-11-27,270,94300.0,"하락  3,000",95600.0,97200.0,94000.0,1316143.0,0.03347280334728033,-0.013598326359832637,0.029835390946502057,0.0031914893617021275,124112284900.0,0.007423117709437964,1
2024-11-28,270,95000.0,상승  700,94400.0,95800.0,93900.0,667018.0,0.020127118644067795,0.006355932203389831,0.008350730688935281,0.011714589989350373,63366710000.0,-0.022105263157894735,0
2024-11-29,270,92900.0,"하락  2,100",93200.0,94500.0,92100.0,1137504.0,0.02575107296137339,-0.003218884120171674,0.016931216931216932,0.008686210640608035,105674121600.0,0.013993541442411194,2
2024-12-02,270,94200.0,"상승  1,300",93900.0,95800.0,93500.0,856300.0,0.024494142705005325,0.003194888178913738,0.016701461377870562,0.0074866310160427805,80663460000.0,0.040339702760084924,2
2024-12-03,270,98000.0,"상승  3,800",95900.0,98000.0,95000.0,1269834.0,0.03128258602711158,0.021897810218978103,0.0,0.031578947368421054,124443732000.0,0.0010204081632653062,1
2024-12-04,270,98100.0,상승  100,96700.0,99700.0,96300.0,1718985.0,0.03516028955532575,0.014477766287487074,0.0160481444332999,0.018691588785046728,168632428500.0,-0.0417940876656473,0
2024-12-05,270,94000.0,"하락  4,100",97200.0,98400.0,93800.0,1047065.0,0.047325102880658436,-0.03292181069958848,0.044715447154471545,0.0021321961620469083,98424110000.0,0.00851063829787234,1
2024-12-06,270,94800.0,상승  800,94100.0,96200.0,93200.0,974415.0,0.031880977683315624,0.007438894792773645,0.014553014553014554,0.017167381974248927,92374542000.0,-0.029535864978902954,0
2024-12-09,270,92000.0,"하락  2,800",93200.0,94400.0,92000.0,1163885.0,0.02575107296137339,-0.012875536480686695,0.025423728813559324,0.0,107077420000.0,0.041304347826086954,2
2024-12-10,270,95800.0,"상승  3,800",93000.0,96000.0,93000.0,1426079.0,0.03225806451612903,0.030107526881720432,0.0020833333333333333,0.030107526881720432,136618368200.0,0.007306889352818371,1
2024-12-11,270,96500.0,상승  700,96500.0,97500.0,95400.0,891106.0,0.021761658031088083,0.0,0.010256410256410256,0.011530398322851153,85991729000.0,0.007253886010362694,1
2024-12-12,270,97200.0,상승  700,96800.0,98900.0,96800.0,1672208.0,0.02169421487603306,0.004132231404958678,0.017189079878665317,0.004132231404958678,162538617600.0,0.009259259259259259,1
2024-12-13,270,98100.0,상승  900,97500.0,98600.0,96100.0,784619.0,0.02564102564102564,0.006153846153846154,0.005070993914807302,0.02081165452653486,76971123900.0,-0.02854230377166157,0
2024-12-16,270,95300.0,"하락  2,800",98100.0,98200.0,95300.0,977937.0,0.029561671763506627,-0.02854230377166157,0.029531568228105907,0.0,93197396100.0,0.004197271773347324,1
2024-12-17,270,95700.0,상승  400,95400.0,97200.0,95400.0,1015342.0,0.018867924528301886,0.0031446540880503146,0.015432098765432098,0.0031446540880503146,97168229400.0,0.06374085684430512,2
2024-12-18,270,101800.0,"상승  6,100",96500.0,102400.0,96500.0,2225773.0,0.061139896373056994,0.054922279792746116,0.005859375,0.054922279792746116,226583691400.0,-0.011787819253438114,0
2024-12-19,270,100600.0,"하락  1,200",100000.0,101800.0,98900.0,1674120.0,0.029,0.006,0.011787819253438114,0.017189079878665317,168416472000.0,0.005964214711729622,1
2024-12-20,270,101200.0,상승  600,100100.0,101200.0,99000.0,1253819.0,0.02197802197802198,0.01098901098901099,0.0,0.022222222222222223,126886482800.0,-0.0029644268774703555,1
2024-12-23,270,100900.0,하락  300,101200.0,102700.0,99500.0,778490.0,0.03162055335968379,-0.0029644268774703555,0.017526777020447908,0.01407035175879397,78549641000.0,-0.002973240832507433,1
2024-12-24,270,100600.0,하락  300,100600.0,101500.0,99500.0,588138.0,0.019880715705765408,0.0,0.008866995073891626,0.011055276381909548,59166682800.0,0.02286282306163022,2
2024-12-26,270,102900.0,"상승  2,300",100800.0,103000.0,99600.0,912601.0,0.03373015873015873,0.020833333333333332,0.000970873786407767,0.03313253012048193,93906642900.0,-0.019436345966958212,0
2024-12-27,270,100900.0,"하락  2,000",101100.0,101800.0,100000.0,607220.0,0.017804154302670624,-0.0019782393669634025,0.008840864440078585,0.009,61268498000.0,-0.0019821605550049554,1
2024-12-30,270,100700.0,하락  200,100500.0,103100.0,100400.0,704616.0,0.026865671641791045,0.001990049751243781,0.023278370514064017,0.00298804780876494,70954831200.0,0.00893743793445879,1
2025-01-02,270,101600.0,상승  900,101000.0,102300.0,100500.0,712616.0,0.01782178217821782,0.005940594059405941,0.006842619745845552,0.010945273631840797,72401785600.0,-0.008858267716535433,1
2025-01-03,270,100700.0,하락  900,101500.0,101800.0,99200.0,1015616.0,0.02561576354679803,-0.007881773399014778,0.010805500982318271,0.015120967741935484,102272531200.0,-0.0019860973187686196,1
2025-01-06,270,100500.0,하락  200,100800.0,101300.0,99200.0,784082.0,0.020833333333333332,-0.002976190476190476,0.007897334649555774,0.01310483870967742,78800241000.0,-0.013930348258706468,0
