날짜,종목코드,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price,X8,label,body_ratio,volatility,mean_close_5,std_close_5,close_vs_ma5,future_return_3d,target
2024-11-22,270,97800.0,상승  200,98500.0,98800.0,97100.0,625998.0,0.017258883248730966,-0.007106598984771574,0.003045685279187817,0.007106598984771574,61222604400.0,-0.0061349693251533,1,0.4117647058823529,0.017382413087934562,97100.0,1133.5784048754633,0.007209062821833162,-0.03578732106339466,0
2024-11-25,270,97200.0,하락  600,97600.0,98300.0,96300.0,1490846.0,0.020491803278688523,-0.004098360655737705,0.007172131147540984,0.009221311475409836,144910231200.0,0.0010288065843621,1,0.2,0.0205761316872428,97200.0,1111.3055385446435,0.0,-0.02263374485596703,0
2024-11-26,270,97300.0,상승  100,96500.0,97500.0,95700.0,824826.0,0.01865284974093264,0.008290155440414507,0.002072538860103627,0.008290155440414507,80255569800.0,-0.0308324768756423,0,0.4444444444444444,0.018499486125385406,97600.0,367.4234614174767,-0.0030737704918032786,-0.045220966084275394,0
2024-11-27,270,94300.0,"하락  3,000",95600.0,97200.0,94000.0,1316143.0,0.03347280334728033,-0.013598326359832637,0.016736401673640166,0.0031380753138075313,124112284900.0,0.0074231177094379,1,0.40625,0.033934252386002124,96840.0,1439.791651594077,-0.026228831061544815,-0.0010604453870625141,0
2024-11-28,270,95000.0,상승  700,94400.0,95800.0,93900.0,667018.0,0.020127118644067795,0.006355932203389831,0.00847457627118644,0.005296610169491525,63366710000.0,-0.0221052631578947,0,0.3157894736842105,0.02,96320.0,1561.089363233252,-0.013704318936877076,0.03157894736842115,1
2024-11-29,270,92900.0,"하락  2,100",93200.0,94500.0,92100.0,1137504.0,0.02575107296137339,-0.003218884120171674,0.013948497854077254,0.008583690987124463,105674121600.0,0.0139935414424111,2,0.125,0.02583423035522067,95340.0,1900.7893097342483,-0.025592615900985945,0.05597416576964487,1
2024-12-02,270,94200.0,"상승  1,300",93900.0,95800.0,93500.0,856300.0,0.024494142705005325,0.003194888178913738,0.01703940362087327,0.004259850905218318,80663460000.0,0.0403397027600849,2,0.13043478260869565,0.024416135881104035,94740.0,1619.567843592852,-0.005699810006333122,-0.002123142250530785,0
2024-12-03,270,98000.0,"상승  3,800",95900.0,98000.0,95000.0,1269834.0,0.03128258602711158,0.021897810218978103,0.0,0.009384775808133473,124443732000.0,0.0010204081632653,1,0.7,0.030612244897959183,94880.0,1901.8412131405712,0.03288364249578415,-0.03265306122448974,0
2024-12-04,270,98100.0,상승  100,96700.0,99700.0,96300.0,1718985.0,0.03516028955532575,0.014477766287487074,0.016546018614270942,0.004136504653567736,168632428500.0,-0.0417940876656473,0,0.4117647058823529,0.034658511722731905,95640.0,2324.4354153213208,0.025721455457967377,-0.06218144750254839,0
2024-12-05,270,94000.0,"하락  4,100",97200.0,98400.0,93800.0,1047065.0,0.047325102880658436,-0.03292181069958848,0.012345679012345678,0.00205761316872428,98424110000.0,0.0085106382978723,1,0.6956521739130435,0.04893617021276596,95440.0,2433.7214302380626,-0.015088013411567477,0.01914893617021285,0
