종목코드,종목명,날짜,종가,52주최고,52주최저,정적_거래량,동적_거래량,시가총액_원,PER_숫자,EPS_숫자,전일대비,개인순매수,기관순매수,외국인순매수
5930,삼성전자,20250624,"60,500","88,800","49,900","23,300,246","23,300,246",358138100000000,11.72,5162.0,"2,500","-7,304,208","+1,857,835","+5,465,161"
660,SK하이닉스,20250624,"278,500","283,000","144,700","5,295,583","5,295,583",202748700000000,7.81,35682.0,"19,000","-296,095","-317,387","+631,550"
207940,삼성바이오로직스,20250624,"1,004,000","1,209,000","722,000","71,516","71,516",71458700000000,55.85,17977.0,"12,000","-2,376","-10,851","+13,044"
373220,LG에너지솔루션,20250624,"300,500","444,000","266,000","275,626","275,626",70317000000000,,4974.0,"6,500","-27,749","-1,999","+31,141"
35420,NAVER,20250624,"290,500","295,000","151,100","4,121,925","4,121,925",46026000000000,25.37,11452.0,500,"+1,417,832","+126,357","-1,584,693"
34020,두산에너빌리티,20250624,"68,900","71,400","15,150","13,780,632","13,780,632",44134700000000,,159.0,300,"+2,406,239","-431,918","-1,997,170"
105560,KB금융,20250624,"112,300","114,800","69,300","1,406,979","1,406,979",42838200000000,7.79,14416.0,"4,700","-159,228","-19,981","+179,377"
12450,한화에어로스페이스,20250624,"895,000","987,000","230,724","280,662","280,662",42330100000000,18.1,49447.0,"-24,000","+32,554","+22,603","-52,029"
5380,현대차,20250624,"206,000","299,500","175,800","713,116","713,116",42180100000000,4.49,45880.0,"4,500","+30,137","-75,514","+52,627"
329180,HD현대중공업,20250624,"463,500","474,000","147,400","527,930","527,930",41146300000000,46.91,9880.0,"30,000","-165,088","-7,436","+174,084"
5935,삼성전자우,20250624,"49,400","70,300","41,700","2,916,078","2,916,078",40309100000000,9.57,5162.0,"1,600","-429,986","+103,441","+315,005"
270,기아,20250624,"96,900","132,300","81,300","911,752","911,752",38534500000000,4.13,23440.0,"1,000","-11,615","+39,852","-26,888"
68270,셀트리온,20250624,"161,200","194,109","144,866","474,315","474,315",35855100000000,74.6,2161.0,"2,200","-154,396","+36,757","+55,902"
35720,카카오,20250624,"70,400","71,600","32,550","12,052,968","12,052,968",31100400000000,203.47,346.0,"2,800","-1,088,545","+744,212","+267,851"
55550,신한지주,20250624,"61,000","64,600","42,500","1,615,168","1,615,168",30246400000000,6.7,9108.0,900,"-118,712","+188,105","+495,644"
9540,HD한국조선해양,20250624,"392,000","398,000","148,800","289,076","289,076",27743100000000,18.76,20895.0,"16,500","-56,382","+1,407","+55,518"
28260,삼성물산,20250624,"162,500","174,500","108,100","549,331","549,331",27621200000000,12.98,12523.0,900,"+67,787","-41,945","-29,346"
42660,한화오션,20250624,"87,400","95,800","25,400","2,679,955","2,679,955",26780500000000,38.66,2261.0,"1,100","+82,480","+120,849","-235,478"
12330,현대모비스,20250624,"285,000","302,000","200,500","190,546","190,546",26161600000000,6.28,45380.0,"4,500","-9,404","-8,619","+17,938"
32830,삼성생명,20250624,"128,500","133,400","73,300","484,144","484,144",25700000000000,12.12,10600.0,"4,100","-40,660","-12,237","+61,778"
402340,SK스퀘어,20250624,"181,000","181,800","67,600","870,842","870,842",23989900000000,4.88,37069.0,"17,300","+30,086","+65,211","-102,131"
86790,하나금융지주,20250624,"82,300","83,000","51,500","860,605","860,605",23432800000000,6.21,13252.0,"2,500","-32,272","-59,467","+93,253"
11200,HMM,20250624,"22,800","25,350","15,570","3,052,164","3,052,164",23370900000000,4.49,5073.0,-750,"+229,761","-192,304","-30,549"
15760,한국전력,20250624,"34,100","34,650","18,190","19,728,999","19,728,999",21891000000000,4.16,8191.0,"5,850","-2,958,151","+1,651,464","+1,742,616"
64350,현대로템,20250624,"200,000","220,500","37,450","1,683,634","1,683,634",21828500000000,42.88,4664.0,"-14,000","+226,934","-202,935","-30,979"
5490,POSCO홀딩스,20250624,"263,000","397,000","227,500","305,296","305,296",21285400000000,25.57,10286.0,"9,500","-113,245","+15,400","+99,988"
138040,메리츠금융지주,20250624,"114,100","127,400","73,500","356,760","356,760",20539700000000,9.34,12216.0,"1,700","-25,323","+65,981","-38,712"
810,삼성화재,20250624,"444,000","466,000","324,000","128,263","128,263",20429000000000,11.33,39171.0,"18,500","-18,947","-10,019","+29,852"
