종목코드,종목명,날짜,종가,52주최고,52주최저,정적_거래량,동적_거래량,시가총액_원,PER_숫자,EPS_숫자,전일대비,개인순매수,기관순매수,외국인순매수
5930,삼성전자,20250625,"61,300","88,800","49,900","22,701,571","22,701,571",362873800000000,11.88,5162.0,800,"-1,232,486","-807,968","+1,971,419"
660,SK하이닉스,20250625,"286,000","291,500","144,700","5,162,901","5,162,901",208208700000000,8.02,35682.0,"7,500","+345,406","-426,172","+84,239"
207940,삼성바이오로직스,20250625,"1,004,000","1,209,000","722,000","57,537","57,537",71458700000000,55.85,17977.0,0,"+1,511","-8,752","+6,247"
373220,LG에너지솔루션,20250625,"298,000","444,000","266,000","185,031","185,031",69732000000000,,4974.0,"-2,500","+47,383","-12,767","-34,523"
35420,NAVER,20250625,"283,500","295,000","151,100","2,862,461","2,862,461",44916900000000,24.76,11452.0,"-7,000","+357,144","+163,827","-546,894"
5380,현대차,20250625,"217,000","299,500","175,800","1,786,093","1,786,093",44432400000000,4.73,45880.0,"11,000","-231,013","+51,705","+175,453"
34020,두산에너빌리티,20250625,"65,800","71,400","15,150","11,308,003","11,308,003",42148900000000,,159.0,"-3,100","+1,419,479","-449,216","-1,054,514"
105560,KB금융,20250625,"109,500","114,800","69,300","1,644,148","1,644,148",41770100000000,7.6,14416.0,"-2,800","+232,721","+49,437","-295,594"
5935,삼성전자우,20250625,"50,400","70,300","41,700","2,069,515","2,069,515",41125100000000,9.76,5162.0,"1,000","-425,310","+4,042","+422,133"
12450,한화에어로스페이스,20250625,"856,000","987,000","230,724","309,731","309,731",40485500000000,17.31,49447.0,"-39,000","+44,450","-30,749","-15,579"
270,기아,20250625,"101,100","132,300","81,300","2,778,238","2,778,238",40204700000000,4.31,23440.0,"4,200","-515,349","+261,104","+284,195"
329180,HD현대중공업,20250625,"437,000","476,000","147,400","318,755","318,755",38793900000000,44.23,9880.0,"-26,500","+45,425","-29,665","-16,057"
68270,셀트리온,20250625,"160,500","194,109","144,866","380,643","380,643",35699400000000,74.27,2161.0,-700,"+81,313","-74,450","-22,285"
35720,카카오,20250625,"69,400","71,600","32,550","6,399,440","6,399,440",30658600000000,200.58,346.0,"-1,000","-236,209","-217,819","+459,757"
55550,신한지주,20250625,"60,600","64,600","42,500","3,108,925","3,108,925",30048000000000,6.65,9108.0,-400,"+246,591","+92,748","-346,899"
28260,삼성물산,20250625,"165,100","174,500","108,100","714,792","714,792",28063100000000,13.18,12523.0,"2,600","-94,485","-81,250","+180,851"
12330,현대모비스,20250625,"297,500","302,000","200,500","397,717","397,717",27309000000000,6.56,45380.0,"12,500","-45,162","+46,251","-6,942"
32830,삼성생명,20250625,"129,000","133,400","73,300","289,015","289,015",25800000000000,12.17,10600.0,500,"+41,981","-66,478","+22,466"
9540,HD한국조선해양,20250625,"364,000","398,500","148,800","434,574","434,574",25761400000000,17.42,20895.0,"-28,000","+115,136","-67,939","-49,364"
402340,SK스퀘어,20250625,"192,200","199,800","67,600","956,455","956,455",25474400000000,5.18,37069.0,"11,200","+63,685","-20,712","-58,106"
42660,한화오션,20250625,"82,500","95,800","25,400","3,391,991","3,391,991",25279100000000,36.49,2261.0,"-4,900","+1,307,698","-466,078","-860,998"
15760,한국전력,20250625,"37,850","38,550","18,190","19,546,586","19,546,586",24298300000000,4.62,8191.0,"3,750","+961,835","+1,906,833","-2,488,032"
86790,하나금융지주,20250625,"83,200","83,500","51,500","1,020,020","1,020,020",23689000000000,6.28,13252.0,900,"+15,283","-6,502","-32,926"
11200,HMM,20250625,"22,850","25,350","15,570","1,816,170","1,816,170",23422200000000,4.5,5073.0,50,"+360,824","-241,625","-132,606"
5490,POSCO홀딩스,20250625,"269,500","397,000","227,500","383,736","383,736",21811400000000,26.2,10286.0,"6,500","-44,946","-12,566","+44,861"
64350,현대로템,20250625,"191,800","220,500","37,450","1,551,571","1,551,571",20933500000000,41.12,4664.0,"-8,200","+34,429","-193,536","+164,425"
138040,메리츠금융지주,20250625,"114,300","127,400","73,500","325,884","325,884",20575700000000,9.36,12216.0,200,"-24,378","+20,030","+4,625"
810,삼성화재,20250625,"440,500","466,000","324,000","88,585","88,585",20267900000000,11.25,39171.0,"-3,500","+3,934","-14,807","+10,911"
267260,HD현대일렉트릭,20250625,"497,000","506,000","225,500","241,453","241,453",17915400000000,31.9,15581.0,"15,000","-63,006","-3,319","+69,984"
323410,카카오뱅크,20250625,"36,600","38,750","18,490","2,774,761","2,774,761",17457800000000,37.42,978.0,-400,"-104,981","-55,000","+266,368"
259960,크래프톤,20250625,"357,000","393,000","260,000","171,881","171,881",16918500000000,12.89,27686.0,"-4,500","+19,081","-17,163","-3,044"
316140,우리금융지주,20250625,"22,500","22,750","13,740","3,278,835","3,278,835",16708300000000,5.8,3877.0,300,"+60,053","-46,456","+17,031"
10130,고려아연,20250625,"790,000","2,407,000","445,000","25,148","25,148",16355600000000,66.39,11900.0,"-29,000","+7,268",+956,"-8,189"
33780,KT&G,20250625,"125,300","127,600","84,800","290,737","290,737",15294400000000,14.11,8881.0,700,"-43,844","-29,931","+73,093"
