종목코드,종목명,날짜,시작가,전일가,정적_거래량,시가총액,PER,EPS,52주최고,52주최저,종가,전일대비,외국인순매수,기관순매수,개인순매수,동적_거래량,시가총액_원,PER_숫자,EPS_숫자
005930,삼성전자,20250624,"59,400","58,000","23,300,246",358138100000000,11.72,5162.0,"88,800","49,900","60,500","2,500","+5,465,161","+1,857,835","-7,304,208","23,300,246",358138100000000,11.72,5162.0
000660,SK하이닉스,20250624,"270,000","259,500","5,295,583",202748700000000,7.81,35682.0,"283,000","144,700","278,500","19,000","+631,550","-317,387","-296,095","5,295,583",202748700000000,7.81,35682.0
207940,삼성바이오로직스,20250624,"1,004,000","992,000","71,516",71458700000000,55.85,17977.0,"1,209,000","722,000","1,004,000","12,000","+13,044","-10,851","-2,376","71,516",71458700000000,55.85,17977.0
373220,LG에너지솔루션,20250624,"299,500","294,000","275,626",70317000000000,,4974.0,"444,000","266,000","300,500","6,500","+31,141","-1,999","-27,749","275,626",70317000000000,,4974.0
035420,NAVER,20250624,"288,500","290,000","4,121,925",46026000000000,25.37,11452.0,"295,000","151,100","290,500",500,"-1,584,693","+126,357","+1,417,832","4,121,925",46026000000000,25.37,11452.0
034020,두산에너빌리티,20250624,"70,600","68,600","13,780,632",44134700000000,,159.0,"71,400","15,150","68,900",300,"-1,997,170","-431,918","+2,406,239","13,780,632",44134700000000,,159.0
105560,KB금융,20250624,"109,400","107,600","1,406,979",42838200000000,7.79,14416.0,"114,800","69,300","112,300","4,700","+179,377","-19,981","-159,228","1,406,979",42838200000000,7.79,14416.0
012450,한화에어로스페이스,20250624,"905,000","919,000","280,662",42330100000000,18.1,49447.0,"987,000","230,724","895,000","-24,000","-52,029","+22,603","+32,554","280,662",42330100000000,18.1,49447.0
005380,현대차,20250624,"206,500","201,500","713,116",42180100000000,4.49,45880.0,"299,500","175,800","206,000","4,500","+52,627","-75,514","+30,137","713,116",42180100000000,4.49,45880.0
329180,HD현대중공업,20250624,"437,000","433,500","527,930",41146300000000,46.91,9880.0,"474,000","147,400","463,500","30,000","+174,084","-7,436","-165,088","527,930",41146300000000,46.91,9880.0
005935,삼성전자우,20250624,"48,600","47,800","2,916,078",40309100000000,9.57,5162.0,"70,300","41,700","49,400","1,600","+315,005","+103,441","-429,986","2,916,078",40309100000000,9.57,5162.0
000270,기아,20250624,"95,700","95,900","911,752",38534500000000,4.13,23440.0,"132,300","81,300","96,900","1,000","-26,888","+39,852","-11,615","911,752",38534500000000,4.13,23440.0
068270,셀트리온,20250624,"160,600","159,000","474,315",35855100000000,74.6,2161.0,"194,109","144,866","161,200","2,200","+55,902","+36,757","-154,396","474,315",35855100000000,74.6,2161.0
035720,카카오,20250624,"68,100","67,600","12,052,968",31100400000000,203.47,346.0,"71,600","32,550","70,400","2,800","+267,851","+744,212","-1,088,545","12,052,968",31100400000000,203.47,346.0
055550,신한지주,20250624,"60,700","60,100","1,615,168",30246400000000,6.7,9108.0,"64,600","42,500","61,000",900,"+495,644","+188,105","-118,712","1,615,168",30246400000000,6.7,9108.0
009540,HD한국조선해양,20250624,"380,500","375,500","289,076",27743100000000,18.76,20895.0,"398,000","148,800","392,000","16,500","+55,518","+1,407","-56,382","289,076",27743100000000,18.76,20895.0
028260,삼성물산,20250624,"166,100","161,600","549,331",27621200000000,12.98,12523.0,"174,500","108,100","162,500",900,"-29,346","-41,945","+67,787","549,331",27621200000000,12.98,12523.0
042660,한화오션,20250624,"87,300","86,300","2,679,955",26780500000000,38.66,2261.0,"95,800","25,400","87,400","1,100","-235,478","+120,849","+82,480","2,679,955",26780500000000,38.66,2261.0
012330,현대모비스,20250624,"286,500","280,500","190,546",26161600000000,6.28,45380.0,"302,000","200,500","285,000","4,500","+17,938","-8,619","-9,404","190,546",26161600000000,6.28,45380.0
032830,삼성생명,20250624,"126,800","124,400","484,144",25700000000000,12.12,10600.0,"133,400","73,300","128,500","4,100","+61,778","-12,237","-40,660","484,144",25700000000000,12.12,10600.0
402340,SK스퀘어,20250624,"170,200","163,700","870,842",23989900000000,4.88,37069.0,"181,800","67,600","181,000","17,300","-102,131","+65,211","+30,086","870,842",23989900000000,4.88,37069.0
086790,하나금융지주,20250624,"81,000","79,800","860,605",23432800000000,6.21,13252.0,"83,000","51,500","82,300","2,500","+93,253","-59,467","-32,272","860,605",23432800000000,6.21,13252.0
011200,HMM,20250624,"22,600","23,550","3,052,164",23370900000000,4.49,5073.0,"25,350","15,570","22,800",-750,"-30,549","-192,304","+229,761","3,052,164",23370900000000,4.49,5073.0
015760,한국전력,20250624,"29,450","28,250","19,728,999",21891000000000,4.16,8191.0,"34,650","18,190","34,100","5,850","+1,742,616","+1,651,464","-2,958,151","19,728,999",21891000000000,4.16,8191.0
064350,현대로템,20250624,"201,500","214,000","1,683,634",21828500000000,42.88,4664.0,"220,500","37,450","200,000","-14,000","-30,979","-202,935","+226,934","1,683,634",21828500000000,42.88,4664.0
